标题,链接,摘要
大概，他们就是世上活得最明白的人吧,https://zhuanlan.zhihu.com/p/34071826,2017年夏天，在北京金鱼胡同打了辆车。司机师傅右臂刺了个麒麟。他说，是年轻时去天津刺的，为了个女孩儿。“现在要洗掉也得一千多块，还疼，就算了留着吧。”他说，冬天还好，夏天就老得跟乘客解释这刺青来由。不过，“留着吧，当一念想。”我很想问他那个…
“我们是逼死了人，可你也不该出来揭露呀！”,https://zhuanlan.zhihu.com/p/35355991,张无忌学医的师父胡青牛，有个妹妹胡青羊；她救了华山派的鲜于通——那时，鲜于通正因为始乱终弃，被报复性下毒，生命垂危呢——以身相许，不料始乱终弃的惯犯鲜于通又抛了胡青羊。胡青羊自尽了。胡青牛难过之极，引为终身恨事，告诉了张无忌。 光明顶上，…
陈世峰杀害江歌事件里，刘鑫那扇始终紧闭的门,https://zhuanlan.zhihu.com/p/31003024,江歌与刘鑫的这桩惨事，有点像马尔克斯的一篇小说，《事先张扬的凶杀案》。 在小说里，一个女孩因为新婚之夜不是处女而被退婚，被逼问下，便指认一个无辜青年纳赛尔是奸夫。女孩的兄弟——两个屠夫——出门去杀纳赛尔。纳赛尔逃回家，一个女仆在二楼，以为…
外国人喝冰水，中国人喝热水，一定是中外体质不同吧？,https://zhuanlan.zhihu.com/p/41947834,那年冬天，我和几个朋友去瑞士某小城旅游，朋友吃不惯瑞士奶酪锅，行李箱里摸出早就备好的泡面，略一沉吟，去找酒店工作人员要点热水。瑞士人一脸懵懂：热水？您要喝茶还是咖啡？不不，只是热水。瑞士人完全不能理解：你们要热水干什么呢？——按照规定，我…
语言类节目，为什么就不如以前好看了？？,https://zhuanlan.zhihu.com/p/25035431,我并不想批评鸡年这台晚会的语言类节目。<strong>我认为，今年诸位老师表现，整体还比去年出色。</strong>开心麻花团队与蔡明+潘长江组合，表现都中规中矩。冯巩连续第二年没有想死我们，而且又跟h和f音卯上了，但他戴上头套的瞬间像《我爱我家》46集傅局长乔装改扮，就足以…
内政外交007集于一体，却总被夸勤勉俭朴，可惜这传奇人生,https://zhuanlan.zhihu.com/p/24780145,今天是，周公忌辰四十一周年。他老人家1976年1月8日逝世的。那一年风云变幻，天摇地动。将相帝星纷落，郭沫若先生也很忙：写了好几首《水调歌头》，真辛苦他了。周公是那年年初去世的。但若从谱系看，他是那年的赢家。他那一批人，那年赢了，然后，有今日之…
救救孩子！,https://zhuanlan.zhihu.com/p/31382857,<b>本篇原来是半个月前某事件爆出后的回答。</b><b>很快有人告诉我，本回答在许多时间线上消失了。当然，我很理解。</b><b>今天，因为众所周知的原因，请容我再发一遍。我相信，大家也理解。</b> 我小时候，是1980年代；那时我们的托儿所与幼儿园，都是所居住新村办的，算当地公…
“要想学得会，先陪师父睡”？,https://zhuanlan.zhihu.com/p/35380964,<b>要想学得会，先跟师父睡。</b>——这话本来是段子，但细想，还是有人能实现的。 杨过表示：这个可以有。瑛姑跟周伯通学点穴，然后不知怎的，孩子都生了。不久段皇爷就出家了。韦爵爷每次提到阿九师父，都强调是“美貌尼姑师父”，说他绝无此心，怕也未必。严格…
国产航母下水……让我想到李鸿章和北洋舰队,https://zhuanlan.zhihu.com/p/26680060,我们都知道了，上周中国国产航空母舰，下水了。据说许多人都哭了，我也很是理解。 二十多年前，我初读二战战史，看到珊瑚海海战。对许多周杰伦歌迷而言，珊瑚海是一首歌，在我记忆里，却意味着史上第一次航空母舰对战。我记得瑞鹤、翔鹤，记得列克星敦号和…
伤不伤身体我们不管，你揭露了，就活该被追杀！,https://zhuanlan.zhihu.com/p/37011354,<b>本文纯属虚构。</b> 却说光明顶上，张无忌对崆峒派宗维侠道：“这七伤拳的拳功每深一层，自身内脏便多受一层损害。实则是先伤己，再伤敌。这七伤拳有害无益，不能再练。”宗维侠额头上汗珠一滴滴的渗了出来。原来张无忌精通七伤拳的拳理，说来竟丝毫不错。宗维…
