星际牛仔 Cowboy Bebop (1998),导演： 渡边信一郎主演： 山寺宏一		 石塚运升 2071 年，人类已经遍布整个太阳系。面对日益严重的犯罪活动，政府也无能为力，于是在电视上悬赏捉拿各种罪犯。这造就了一种新..
周六夜现场 Saturday Night Live (1975),导演： 里昂·艾查索主演： 弗莱德·阿米森		 比尔·哈德尔 这是一档以短小的讽刺话题、电视广告的模仿、一个现场嘉宾乐队和一个流行文化名人的嘉宾主持为特色的深夜喜剧类节目。
银魂’ 銀魂’ (2011),导演： 高松信司主演： 杉田智和		 阪口大助 
"是，大臣 Yes, Minister (1980)","导演： Stuart Allen主演： Paul Eddington		 奈杰尔·霍桑 《是，大臣》（Yes Minister，后来续集名为Yes, Prime Minister）是一套于1980年代播出的英国电视处境喜剧。这套剧集走英式幽.."
流言终结者 MythBusters (2003),导演： Alice Dallow主演： Jamie Hyneman		 Adam Savage 每个人都想解开都市流言的真假之谜，而这正是《流言终结者》大受欢迎的原因。在每一集节目中，亚当和杰米都会运用科学实验、特..
我们这一家  (2002),主演： 柚木凉香 
生活大爆炸 The Big Bang Theory (2007),导演： 马克·森卓斯基主演： 吉姆·帕森斯		 卡蕾·库科 Leonard和Sheldon是一对合起来智商超过360的疯狂科学家宅男。直到有一天，隔壁搬来一位美貌性感的女孩Penny……
豪斯医生 House M.D. (2004),导演： Deran Sarafian主演： 休·劳瑞		 罗伯特·肖恩·莱纳德 态度无礼，表情凶恶，跛足拄着一根藤棍，永远是牛仔裤运动鞋的便装打扮而不是整洁的白大褂，普林斯顿大学附属医院的格雷戈..
东京爱情故事 Tokyo Love Story (1991),导演： 永山耕三主演： 织田裕二		 铃木保奈美 抱着不安而由爱媛到东京的完治，在机场莉香以令人回复冲动的笑颜迎接完治，在二人工作同时，莉香亦开始爱上了完治，但完治心中..
同志亦凡人 Queer as Folk (2000),导演： Michael DeCarlo主演： 葛尔·哈罗德		 兰迪·哈里森 《同志亦凡人》，美国Showtime有线收费电视网拍摄的一部电视连续剧。2000年首播，共5季，2005年播完，拥有极高的收视率。该片..
老友记 Friends (1994),导演： 凯文·布赖特主演： 詹妮弗·安妮斯顿		 大卫·休默 故事主要描述了住在纽约的六个好朋友从相识到后来一起经历了9年的生活中发生的一系列的故事，朋友间的生活、友谊、麻烦、欢笑..
海贼王 One Piece (1999),导演： 宇田钢之助主演： 田中真弓		 中井和哉 故事围绕着梦想和同伴的友谊两个主题展开。整个作品拥有自己庞大的世界观。
野外求生 Man vs. Wild (2006),导演： Mike Warner主演： 贝尔·格里尔斯 
人类星球 Human Planet (2011),导演： Nicolas Brown主演： 约翰·赫特 
猫和老鼠 Tom and Jerry (1965),导演： 特克斯·艾弗里主演： 特克斯·艾弗里		 约瑟夫·巴伯拉 猫和老鼠（英文：Tom and Jerry，台湾电视公司1970年代播出时曾经称作“妙妙妙”，华纳家庭娱乐在台湾发行的DVD称为“汤姆猫与..
地球脉动 Planet Earth (2006),导演： 艾雷斯泰·法瑟吉尔主演： 大卫·艾登堡		 西格妮·韦弗 《地球脉动》由得过多项大奖的《蓝色星球》原班人马拍摄制作，是对地球空前绝后的礼赞，拥抱地球上不可思议的美景和自然生物。..
兄弟连 Band of Brothers (2001),导演： 大卫·弗兰科尔主演： 戴米恩·刘易斯		 朗·里维斯顿 该剧描写美国101空军部队的一个小支队Easy Company的真实故事，他们参与了盟军空降法国的任务，以及其后整个欧洲的战事。1942..
成长的烦恼 Growing Pains (1985),导演： 安迪·卡迪夫主演： 乔安娜·科恩斯		 特里茜·古德 《成长的烦恼》讲述的是关于居住在美国郊区（也许用“城市远郊”这个词更恰当）的西维尔（Seaver）一家的故事。他们生活在纽约..
灌篮高手 Slam Dunk (1993),导演： 坂本信人主演： 草尾毅		 绿川光 《灌篮高手》是一部围绕青少年篮球运动的日本幽默卡通巨片。 该片卡通人物形象幽默、语言风趣，是一部不可多得的卡通电视精品。
银魂 Gintama (2006),导演： 高松信司主演： 阪口大助		 钉宫理惠 “银魂”是1919年劳斯莱斯推出的一种车的型号。《银魂》是《周刊少年JUMP》连载中的人气漫画。它的故事背景取自江户。从宇宙来..
走向共和  (2003),导演： 张黎主演： 吕中		 孙淳 本剧是中国影视作品第一次以史诗般的艺术笔角全景式地呈现了中华民族推翻帝制、走向共和这一波澜壮阔的艰难历程。
威尔与格蕾丝 Will and Grace (1998),"导演： 詹姆斯·布罗斯主演： 艾瑞克·麦柯马克		 黛博拉·梅辛 《威尔与格蕾丝》""是备受欢迎的艾美奖获奖情景喜剧，其主要讲述了四个好朋友的生活：Will Truman，同性恋律师；Will的好朋友Gr.."
猎人 Hunter x Hunter (1999),导演： 古桥一浩主演： 乡田穗积		 甲斐田幸 集冒险、勇敢、斗争、残暴、亲情、友情、爱情等多种元素于一身。它虚构了一个猎人的世界，在这个世界里，充斥着各色的狩猎者与..
